dg_id,player_name
17357,"Migliozzi, Guido"
17365,"Mitchell, Keith"
17381,"Silverman, Ben"
17386,"Mun, Doyeob"
17488,"Im, Sungjae"
17508,"Gribble, Cody"
17509,"Seiffert, Chase"
17511,"Straka, Sepp"
17536,"Spaun, J.J."
17538,"Homa, Max"
17543,"Kim, Michael"
17546,"Kellen, Jeffrey"
17550,"van Rooyen, Erik"
17564,"Bozzelli, Dominic"
17576,"Conners, Corey"
17584,"McCumber, Tyler"
17606,"Berger, Daniel"
17619,"Johnson, Zach J."
17639,"Blair, Zac"
17646,"Fitzpatrick, Matt"
17718,"Sordet, Clement"
17722,"Stalter, Joel"
17723,"Lower, Justin"
17743,"McNabb, David"
17744,"Muttitt, David"
17747,"Halvorsen, Andreas"
17780,"Pendrith, Taylor"
17786,"Davis, Cam"
17792,"Robertson, Graeme"
17813,"Armitage, Marcus"
17816,"Forgan, Sam"
17858,"Van Meijel, Lars"
17881,"Yu, Kevin"
17902,"Miller, Michael"
18016,"Sugiyama, Tomoyasu"
18059,"Suri, Julian"
18079,"Niemann, Joaquin"
18103,"Bezuidenhout, Christiaan"
18105,"Lawrence, Thriston"
18149,"Khongwatmai, Phachara"
18174,"Ritchie, JC"
18187,"Duncan, Tyler"
18238,"Ancer, Abraham"
18239,"Truslow, Austen"
18244,"Shinkwin, Callum"
18251,"Hebert, Michael"
18284,"Niebrugge, Jordan"
18338,"Chang, Yi Keun"
18417,"Scheffler, Scottie"
18474,"Smalley, Alex"
18514,"Kinhult, Marcus"
18517,"Soderberg, Sebastian"
18524,"Catlin, John"
18554,"Rai, Aaron"
18555,"Rutherford, Jamie"
18579,"Cook, Austin"
18580,"Gooch, Talor"
18586,"Smith, Jordan"
18630,"Grimmer, Will"
18631,"Kaufman, Smylie"
18634,"McNealy, Maverick"
18635,"Shelton, Robby"
18659,"Rainaud, Adam"
18662,"Schniederjans, Ollie"
18695,"Hagy, Brandon"
18735,"Chesters, Ashley"
18736,"Dunne, Paul"
18747,"Wrigley, Alex"
18761,"Mullinax, Trey"
18770,"Rozner, Antoine"
18772,"Wells, Jeremy"
18841,"Hovland, Viktor"
18869,"Lamb, Rick"
18900,"Quayle, Anthony"
18983,"Lin, Yuxin"
19000,"Celia, Ricardo"
19030,"Evans, Ryan"
19068,"Barron, Haydn"
19121,"McCullen, Haydn"
19190,"Hoshino, Rikuya"
19195,"Rahm, Jon"
19208,"Endycott, Harrison"
19224,"Micheluzzi, David"
19232,"Smyth, Travis"
19253,"Gana, Toto"
19357,"Tree, Toby"
19364,"Werenski, Richy"
19396,"Knapp, Jake"
19428,"Zalatoris, Will"
19430,"Kozan, Andrew"
19455,"Pereira, Mito"
19477,"Schenk, Adam"
19483,"Burns, Sam"
19508,"Harvey, Scott"
19681,"Semikawa, Taiga"
19704,"Connelly, Austin"
19729,"Kanaya, Takumi"
19738,"Dougherty, Kevin"
19747,"Light, Tyler"
19806,"Forsstrom, Simon"
19840,"Ramey, Chad"
19841,"DeChambeau, Bryson"
19844,"Kaewkanjana, Sadom"
19863,"Berberian, Jr., Rich"
19864,"Hammer, Cole"
19865,"Hardy, Nick"
19866,"Horsfield, Sam"
19869,"Maguire, Jack"
19870,"McCarthy, Denny"
